财务报表	財務諸表
资产负债表	貸借対照表
利润表	損益計算書
现金流量表	キャッシュ・フロー計算書
所有者权益变动表	株主資本等変動計算書
附注	注記
资产	資産
流动资产	流動資産
非流动资产	固定資産
货币资金	現金及び預金
应收账款	売掛金
应收票据	受取手形
预付款项	前払金
存货	棚卸資産
固定资产	有形固定資産
无形资产	無形固定資産
商誉	のれん
长期股权投资	長期投資有価証券
递延所得税资产	繰延税金資産
负债	負債
流动负债	流動負債
非流动负债	固定負債
应付账款	買掛金
应付票据	支払手形
短期借款	短期借入金
长期借款	長期借入金
应付债券	社債
预收款项	前受金
递延所得税负债	繰延税金負債
所有者权益	純資産 / 株主資本
实收资本	資本金
资本公积	資本準備金
盈余公积	利益準備金
未分配利润	繰越利益剰余金
少数股东权益	非支配株主持分
营业收入	売上高
营业成本	売上原価
毛利润	売上総利益
销售费用	販売費
管理费用	一般管理費
研发费用	研究開発費
营业利润	営業利益
营业外收入	営業外収益
营业外支出	営業外費用
利息收入	受取利息
利息支出	支払利息
税前利润	税引前当期純利益
所得税费用	法人税等
净利润	当期純利益
归母净利润	親会社株主に帰属する当期純利益
经营活动现金流	営業活動によるキャッシュ・フロー
投资活动现金流	投資活動によるキャッシュ・フロー
筹资活动现金流	財務活動によるキャッシュ・フロー
自由现金流	フリー・キャッシュ・フロー
每股收益（EPS）	1株当たり当期純利益（EPS）
每股净资产（BPS）	1株当たり純資産（BPS）
市盈率（PE	株価収益率（PER）
市净率（PB）	株価純資産倍率（PBR）
市销率（PS）	株価売上高倍率（PSR）
净资产收益率（ROE）	自己資本利益率（ROE）
总资产收益率（ROA）	総資産利益率（ROA）
毛利率	売上総利益率
净利率	当期純利益率
资产负债率	負債比率
流动比率	流動比率
EBITDA	EBITDA
上海证券交易所	上海証券取引所
深圳证券交易所	深圳証券取引所
北京证券交易所	北京証券取引所
A股	A株 / Aシェア
H股	H株
科创板	科創板（スターマーケット）
创业板	創業板（チャイネクスト）
北交所	北京証券取引所
主板	メインボード / 本則市場
新三板	新三板 / 全国中小企業株式譲渡システム
股票	株式
普通股	普通株式
优先股	優先株
流通股	流通株式
限售股	ロックアップ株式
股权激励	株式報酬 / ストックオプション
期权	オプション
分红	配当
股息率	配当利回り
回购	買戻し
增发	公募増資 / 第三者割当増資
配股	ライツ・オファリング
拆股	株式分割
合股	株式併合
涨停	ストップ高
跌停	ストップ安
涨跌幅限制	値幅制限
大宗交易	ブロックトレード
融资融券	信用取引
做空	空売り
债券	債券
国债	国債
地方政府债	地方債
企业债	社債
可转债	転換社債型新株予約権付社債
信用债	信用債
票面利率	クーポンレート / 表面利率
到期收益率（YTM）	最終利回り（YTM）
信用评级	格付け
违约	デフォルト / 債務不履行
公募基金	公募ファンド / 投資信託
私募基金	私募ファンド
ETF	ETF / 上場投資信託
净值	基準価額
申购	購入 / 申込
赎回	解約 / 換金
管理费率	信託報酬率
国内生产总值（GDP）	国内総生産（GDP）
GDP增速	GDP成長率
通货膨胀	インフレーション / インフレ
通货紧缩	デフレーション / デフレ
消费者价格指数（CPI）	消費者物価指数（CPI）
生产者价格指数（PPI）	企業物価指数（CGPI/PPI）
失业率	失業率
贸易顺差	貿易黒字
贸易逆差	貿易赤字
经常账户	経常収支
外汇储备	外貨準備高
汇率	為替レート
升值	増価 / 切り上げ
贬值	減価 / 切り下げ
人民币	人民元（CNY/RMB）
中国人民银行（央行）	中国人民銀行（中央銀行）
存款准备金率	預金準備率
降准	預金準備率の引き下げ
基准利率	基準金利
贷款市场报价利率（LPR）	ローンプライムレート（LPR）
加息	利上げ
降息	利下げ
量化宽松（QE）	量的金融緩和（QE）
公开市场操作	公開市場操作
逆回购	逆現先 / リバースレポ
信贷扩张	信用拡大
中国证券监督管理委员会（证监会）	中国証券監督管理委員会（CSRC）
中国银行保险监督管理委员会（银保监）	中国銀行保険監督管理委員会（CBIRC）
国家金融监督管理总局	国家金融監督管理総局（NFRA）
信息披露	ディスクロージャー
年度报告	年次報告書 / アニュアルレポート
半年报	中間報告書
季报	四半期報告書
内幕交易	内部者取引
关联交易	関連当事者取引
审计	監査
独立审计师	独立監査人
会计准则	会計基準
中国会计准则（CAS）	中国会計基準（CAS）
国际财务报告准则（IFRS）	国際財務報告基準（IFRS）
国有企业（国企）	国有企業（SOE）
央企	中央国有企業
地方融资平台（城投）	地方政府系融資プラットフォーム（城投）
影子银行	シャドーバンキング
理财产品	理財商品（ウェルスマネジメント商品）
信托	信託
资管新规	資産運用規制新規（資管新規）
双碳目标	カーボンニュートラル目標（「双碳」政策）
专项债	地方政府特定目的債券（専項債）
再融资	追加資金調達 / 増資
交易方向	注文
代码	コード
开仓	新規
平仓	手仕舞い
方向	売買方向
订单类型	注文方法
数量	数量
可买开数量	買付可能数
附加订单	決済同時発注
組合訂單	組合せ注文
竞价市价单	寄り成行
竞价限价单	寄り指値
市价单	成行
条件单	条件付き
限价单	指値
